id,properties/icon,properties/name,properties/language/longitude,properties/language/pk,properties/language/name,properties/language/id,properties/language/latitude,type,geometry/coordinates/0,geometry/coordinates/1,geometry/type
ZALAMO,http://asjp.clld.org/clld-static/icons/cff6600.png,Zalamo,39,961,Zalamo,ZALAMO,-7,Feature,39,-7,Point
ZAMBA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Zamba 2,18.17,962,Zamba 2,ZAMBA_2,1,Feature,18.17,1,Point
ZAMBA_BAMONGO,http://asjp.clld.org/clld-static/icons/cff6600.png,Zamba Bamongo,17.33,963,Zamba Bamongo,ZAMBA_BAMONGO,-1.33,Feature,17.33,-1.33,Point
ZAMBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Zamba,18.17,964,Zamba,ZAMBA,1,Feature,18.17,1,Point
ZAMBA_3,http://asjp.clld.org/clld-static/icons/cff6600.png,Zamba 3,17.33,965,Zamba 3,ZAMBA_3,-1.33,Feature,17.33,-1.33,Point
ZIBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Ziba,31.5,966,Ziba,ZIBA,-2,Feature,31.5,-2,Point
ZIGULA,http://asjp.clld.org/clld-static/icons/cff6600.png,Zigula,38.17,967,Zigula,ZIGULA,-5.75,Feature,38.17,-5.75,Point
ZIMBABWE_NDEBELE,http://asjp.clld.org/clld-static/icons/cff6600.png,Zimbabwe Ndebele,29,968,Zimbabwe Ndebele,ZIMBABWE_NDEBELE,-20,Feature,29,-20,Point
ZIMBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Zimba,26.67,969,Zimba,ZIMBA,-4,Feature,26.67,-4,Point
ZINZA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Zinza 2,31.7,970,Zinza 2,ZINZA_2,-2,Feature,31.7,-2,Point
ZOOMBO_1,http://asjp.clld.org/clld-static/icons/cff6600.png,Zoombo 1,15,971,Zoombo 1,ZOOMBO_1,-5,Feature,15,-5,Point
ZOOMBO_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Zoombo 2,15,972,Zoombo 2,ZOOMBO_2,-5,Feature,15,-5,Point
ZOOMBO_3,http://asjp.clld.org/clld-static/icons/cff6600.png,Zoombo 3,15,973,Zoombo 3,ZOOMBO_3,-5,Feature,15,-5,Point
ZOOMBO_4,http://asjp.clld.org/clld-static/icons/cff6600.png,Zoombo 4,15,974,Zoombo 4,ZOOMBO_4,-5,Feature,15,-5,Point
ZULU_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Zulu 2,30,975,Zulu 2,ZULU_2,-30,Feature,30,-30,Point
ZULU_NKANDLA,http://asjp.clld.org/clld-static/icons/cff6600.png,Zulu Nkandla,30,976,Zulu Nkandla,ZULU_NKANDLA,-30,Feature,30,-30,Point
ZULU,http://asjp.clld.org/clld-static/icons/cff6600.png,Zulu,30,977,Zulu,ZULU,-30,Feature,30,-30,Point
BIJOGO,http://asjp.clld.org/clld-static/icons/cff6600.png,Bijogo,-16,978,Bijogo,BIJOGO,11.33,Feature,-16,11.33,Point
ABUA,http://asjp.clld.org/clld-static/icons/cff6600.png,Abua,6.69,979,Abua,ABUA,4.91,Feature,6.69,4.91,Point
ANAANG,http://asjp.clld.org/clld-static/icons/cff6600.png,Anaang,7.58,980,Anaang,ANAANG,5,Feature,7.58,5,Point
BAN_OGOI,http://asjp.clld.org/clld-static/icons/cff6600.png,Ban Ogoi,7.3,981,Ban Ogoi,BAN_OGOI,4.67,Feature,7.3,4.67,Point
BEKWARRA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bekwarra,8.92,982,Bekwarra,BEKWARRA,6.75,Feature,8.92,6.75,Point
BOKI,http://asjp.clld.org/clld-static/icons/cff6600.png,Boki,9,983,Boki,BOKI,6.25,Feature,9,6.25,Point
EBUGHU,http://asjp.clld.org/clld-static/icons/cff6600.png,Ebughu,8,984,Ebughu,EBUGHU,4.83,Feature,8,4.83,Point
EFAI,http://asjp.clld.org/clld-static/icons/cff6600.png,Efai,8.25,985,Efai,EFAI,4.58,Feature,8.25,4.58,Point
EFIK,http://asjp.clld.org/clld-static/icons/cff6600.png,Efik,8.5,986,Efik,EFIK,4.92,Feature,8.5,4.92,Point
EKIT,http://asjp.clld.org/clld-static/icons/cff6600.png,Ekit,7.92,987,Ekit,EKIT,4.75,Feature,7.92,4.75,Point
ELEME,http://asjp.clld.org/clld-static/icons/cff6600.png,Eleme,7.25,988,Eleme,ELEME,4.75,Feature,7.25,4.75,Point
ELEME_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Eleme 2,7.25,989,Eleme 2,ELEME_2,4.75,Feature,7.25,4.75,Point
ENWANG,http://asjp.clld.org/clld-static/icons/cff6600.png,Enwang,8.25,990,Enwang,ENWANG,4.75,Feature,8.25,4.75,Point
ETEBI,http://asjp.clld.org/clld-static/icons/cff6600.png,Etebi,8,991,Etebi,ETEBI,4.75,Feature,8,4.75,Point
GOKANA,http://asjp.clld.org/clld-static/icons/cff6600.png,Gokana,7.33,992,Gokana,GOKANA,4.58,Feature,7.33,4.58,Point
IBIBIO_1,http://asjp.clld.org/clld-static/icons/cff6600.png,Ibibio 1,7.83,993,Ibibio 1,IBIBIO_1,5.25,Feature,7.83,5.25,Point
IBIBIO_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Ibibio 2,7.83,994,Ibibio 2,IBIBIO_2,5.25,Feature,7.83,5.25,Point
IBINO,http://asjp.clld.org/clld-static/icons/cff6600.png,Ibino,8.17,995,Ibino,IBINO,4.58,Feature,8.17,4.58,Point
IBUORO,http://asjp.clld.org/clld-static/icons/cff6600.png,Ibuoro,7.92,996,Ibuoro,IBUORO,5.5,Feature,7.92,5.5,Point
IKO,http://asjp.clld.org/clld-static/icons/cff6600.png,Iko,8,997,Iko,IKO,4.58,Feature,8,4.58,Point
ILUE,http://asjp.clld.org/clld-static/icons/cff6600.png,Ilue,8.25,998,Ilue,ILUE,4.83,Feature,8.25,4.83,Point
ITUMBUSO,http://asjp.clld.org/clld-static/icons/cff6600.png,Itumbuso,7.83,999,Itumbuso,ITUMBUSO,5.5,Feature,7.83,5.5,Point
KANA,http://asjp.clld.org/clld-static/icons/cff6600.png,Kana,7.42,1000,Kana,KANA,4.75,Feature,7.42,4.75,Point
KOHUMONO,http://asjp.clld.org/clld-static/icons/cff6600.png,Kohumono,8.2,1001,Kohumono,KOHUMONO,6.03,Feature,8.2,6.03,Point
MBEMBE,http://asjp.clld.org/clld-static/icons/cff6600.png,Mbembe,8.42,1002,Mbembe,MBEMBE,6.08,Feature,8.42,6.08,Point
OBOLO,http://asjp.clld.org/clld-static/icons/cff6600.png,Obolo,7.83,1003,Obolo,OBOLO,4.58,Feature,7.83,4.58,Point
OGBRONUAGUM,http://asjp.clld.org/clld-static/icons/cff6600.png,Ogbronuagum,6.87,1004,Ogbronuagum,OGBRONUAGUM,4.75,Feature,6.87,4.75,Point
OKOBO,http://asjp.clld.org/clld-static/icons/cff6600.png,Okobo,8.08,1005,Okobo,OKOBO,5,Feature,8.08,5,Point
ORO,http://asjp.clld.org/clld-static/icons/cff6600.png,Oro,8.08,1006,Oro,ORO,4.92,Feature,8.08,4.92,Point
PROTO_LOWER_CROSS,http://asjp.clld.org/clld-static/icons/cff6600.png,Proto Lower Cross,8,1007,Proto Lower Cross,PROTO_LOWER_CROSS,5,Feature,8,5,Point
TEE,http://asjp.clld.org/clld-static/icons/cff6600.png,Tee,7.42,1008,Tee,TEE,4.75,Feature,7.42,4.75,Point
UDA,http://asjp.clld.org/clld-static/icons/cff6600.png,Uda,8.05,1009,Uda,UDA,4.7,Feature,8.05,4.7,Point
UKWA,http://asjp.clld.org/clld-static/icons/cff6600.png,Ukwa,8,1010,Ukwa,UKWA,5.58,Feature,8,5.58,Point
USAKADE,http://asjp.clld.org/clld-static/icons/cff6600.png,Usakade,8.67,1011,Usakade,USAKADE,4.75,Feature,8.67,4.75,Point
AHAN,http://asjp.clld.org/clld-static/icons/cff6600.png,Ahan,6,1012,Ahan,AHAN,7.43,Feature,6,7.43,Point
ARIGIDI,http://asjp.clld.org/clld-static/icons/cff6600.png,Arigidi,5.87,1013,Arigidi,ARIGIDI,7.57,Feature,5.87,7.57,Point
AYERE,http://asjp.clld.org/clld-static/icons/cff6600.png,Ayere,6,1014,Ayere,AYERE,7.5,Feature,6,7.5,Point
IGALA,http://asjp.clld.org/clld-static/icons/cff6600.png,Igala,7,1015,Igala,IGALA,7.25,Feature,7,7.25,Point
OKA,http://asjp.clld.org/clld-static/icons/cff6600.png,Oka,5.68,1016,Oka,OKA,7.95,Feature,5.68,7.95,Point
YORUBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Yoruba,4.33,1017,Yoruba,YORUBA,8,Feature,4.33,8,Point
AOMA,http://asjp.clld.org/clld-static/icons/cff6600.png,Aoma,5.92,1018,Aoma,AOMA,7.08,Feature,5.92,7.08,Point
AUCHI,http://asjp.clld.org/clld-static/icons/cff6600.png,Auchi,6.5,1019,Auchi,AUCHI,7.25,Feature,6.5,7.25,Point
AVBIANWU,http://asjp.clld.org/clld-static/icons/cff6600.png,Avbianwu,6.5,1020,Avbianwu,AVBIANWU,7.25,Feature,6.5,7.25,Point
DEGEMA,http://asjp.clld.org/clld-static/icons/cff6600.png,Degema,6.75,1021,Degema,DEGEMA,4.75,Feature,6.75,4.75,Point
DEGEMA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Degema 2,6.75,1022,Degema 2,DEGEMA_2,4.75,Feature,6.75,4.75,Point
EDO,http://asjp.clld.org/clld-static/icons/cff6600.png,Edo,5.83,1023,Edo,EDO,6.42,Feature,5.83,6.42,Point
EDO_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Edo 2,5.83,1024,Edo 2,EDO_2,6.42,Feature,5.83,6.42,Point
